accession	id	ec	length	organism	primary_pfam	primary_pfam_name	all_pfams
P21615	RDRP_ROTBU	2.7.7.48	1088	Rotavirus A (strain RVA/Cow/United Kingdom/UK/1975/G6P7[5]) (RV-A)	PF02123	Viral RNA-directed RNA-polymerase	PF02123;PF12289
P21967	RP18_FOWPN	2.7.7.6	161	Fowlpox virus (strain NVSL) (FPV)	PF03293	?	PF03293
P22173	RDRP_IPNVJ	2.7.7.48	845	Infectious pancreatic necrosis virus (strain Jasper) (IPNV)	PF04197	Birnavirus RNA dependent RNA polymerase (VP1), palm domain	PF20489;PF04197;PF20488
P22174	RDRP_IPNVS	2.7.7.48	844	Infectious pancreatic necrosis virus (strain Sp) (IPNV)	PF04197	Birnavirus RNA dependent RNA polymerase (VP1), palm domain	PF20489;PF04197;PF20488
P22372	RPOP_CLAPU	2.7.7.6	936	Claviceps purpurea (Ergot fungus) (Sphacelia segetum)	PF00940	DNA-dependent RNA polymerase	PF00940
P22657	RDRP_PVSP	2.7.7.48; 3.6.4.13	353	Potato virus S (strain Peruvian)	PF00978	RNA dependent RNA polymerase	PF00978
P22678	RDRP_ROTS1	2.7.7.48	1088	Rotavirus A (strain RVA/SA11-Both/G3P5B[2]) (RV-A) (Simian Agent 11 (strain Both))	PF02123	Viral RNA-directed RNA-polymerase	PF02123;PF12289
P22703	RPOB_NOSS1	2.7.7.6	1131	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
P22704	RPOC1_NOSS1	2.7.7.6	625	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623;PF04983
P22705	RPOC2_NOSS1	2.7.7.6	1355	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	PF04998	RNA polymerase Rpb1, domain 5	PF04983;PF05000;PF04998
P22990	RIBF_PSEFL	2.7.1.26; 2.7.7.2	311	Pseudomonas fluorescens	PF06574	FAD synthetase	PF06574;PF01687
P23072	RT162_MYXXA	2.7.7.49	485	Myxococcus xanthus	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00078
P23172	RDRP_SCVLB	2.7.7.48	1512	Saccharomyces cerevisiae virus L-BC (ScV-L-BC) (ScVLa)	PF02123	Viral RNA-directed RNA-polymerase	PF09220;PF02123
P23579	RPOB_EUGGR	2.7.7.6	1082	Euglena gracilis	PF00562	RNA polymerase Rpb2, domain 6	PF04561;PF04565;PF00562;PF04560
P23580	RPOC1_EUGGR	2.7.7.6	586	Euglena gracilis	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623;PF04983
P23581	RPOC2_EUGGR	2.7.7.6	830	Euglena gracilis	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
P23679	GLND_SALTY	2.7.7.59; 3.1.4.-	890	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	PF01966	HD domain	PF01842;PF08335;PF01966;PF01909
P24174	MANC_ECOLI	2.7.7.13	478	Escherichia coli (strain K12)	PF00483	Nucleotidyl transferase	PF22640;PF01050;PF00483
P24757	RP35_VACCW	2.7.7.6	305	Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR))	PF03396	Poxvirus DNA-directed RNA polymerase, 35 kD subunit	PF03396
P25167	RPC2_DROME	2.7.7.6	1137	Drosophila melanogaster (Fruit fly)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF04566;PF04567;PF00562;PF04560
P25202	RPC1_GIAIN	2.7.7.6	1741	Giardia intestinalis (Giardia lamblia)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P25242	POLG_SUMVS	2.7.7.48	365	Sugarcane mosaic virus (strain SC)	PF00767	Potyvirus coat protein	PF00767
P25328	RDRP_SCV20	2.7.7.48	829	Saccharomyces 20S RNA narnavirus (ScNV-20S)	NO_PFAM	no Pfam annotation	
P25426	VINT_BPMFR	2.7.7.-; 3.1.-.-	333	Mycobacterium phage FRAT1 (Mycobacteriophage FRAT1)	PF00589	Phage integrase family	PF00589
P26144	RDRP_I82A2	2.7.7.48	161	Influenza A virus (strain A/Camel/Mongolia/1982 H1N1)	PF00602	Influenza RNA-dependent RNA polymerase subunit PB1	PF00602
P26190	RDRP_ROTPC	2.7.7.48	1082	Rotavirus C (strain RVC/Pig/United States/Cowden/1980) (RV-C)	PF02123	Viral RNA-directed RNA-polymerase	PF02123;PF12289
P26192	VP3_ROTPC	2.1.1.56; 2.7.7.50	692	Rotavirus C (strain RVC/Pig/United States/Cowden/1980) (RV-C)	PF06929	Rotavirus VP3 protein	PF06929
P26340	MANC_SALTY	2.7.7.13	480	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	PF00483	Nucleotidyl transferase	PF22640;PF01050;PF00483
P26396	RFBF_SALTY	2.7.7.33	257	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	PF00483	Nucleotidyl transferase	PF00483
P27059	RPOB_EUGLO	2.7.7.6	1076	Euglena longa (Euglenophycean alga) (Astasia longa)	PF00562	RNA polymerase Rpb2, domain 6	PF04565;PF00562;PF04560
P27077	VINT_BPP21	2.7.7.-; 3.1.-.-	380	Enterobacteria phage P21 (Bacteriophage 21) (Bacteriophage P21)	PF00589	Phage integrase family	PF09003;PF00589
P27078	VINT_BP434	2.7.7.-; 3.1.-.-	356	Enterobacteria phage 434 (Bacteriophage 434)	PF00589	Phage integrase family	PF09003;PF22022;PF00589
P27189	TRAC4_ECOLX	2.7.7.-	1061	Escherichia coli	PF13362	?	PF08401;PF18974;PF18818;PF13362
P27190	TRAC5_ECOLX	2.7.7.-	1448	Escherichia coli	PF13362	?	PF08401;PF18974;PF18818;PF13362
P27328	RDRP_LSV	2.7.7.48; 3.6.4.13	40	Lily symptomless virus (LSV)	NO_PFAM	no Pfam annotation	
P27625	RPC1_PLAFA	2.7.7.6	2339	Plasmodium falciparum	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P28363	RPA1_EUPOC	2.7.7.6	638	Euplotoides octocarinatus (Freshwater ciliate) (Euplotes octocarinatus)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623
P28364	RPB1_EUPOC	2.7.7.6	478	Euplotoides octocarinatus (Freshwater ciliate) (Euplotes octocarinatus)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623
P28365	RPA2_EUPOC	2.7.7.6	1166	Euplotoides octocarinatus (Freshwater ciliate) (Euplotes octocarinatus)	PF00562	RNA polymerase Rpb2, domain 6	PF06883;PF04563;PF04561;PF04565;PF00562;PF04560
P28603	NODP_AZOBR	2.7.7.4	301	Azospirillum brasilense	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF01507
P28858	DPOL_EHV1B	2.7.7.7; 3.1.26.4	1220	Equine herpesvirus 1 (strain Ab4p) (EHV-1) (Equine abortion virus)	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104
P28897	RDRP_SMYEA	2.7.7.48; 3.6.4.13	1323	Strawberry mild yellow edge-associated virus (SMYEaV)	PF00978	RNA dependent RNA polymerase	PF00978;PF01443;PF01660
P28962	PRIM_EHV1B	2.7.7.-	1081	Equine herpesvirus 1 (strain Ab4p) (EHV-1) (Equine abortion virus)	PF03121	Herpesviridae UL52/UL70 DNA primase	PF03121
P29035	RDRP_TAV	2.7.7.48	828	Tomato aspermy virus (TAV)	PF00978	RNA dependent RNA polymerase	PF00978
P29044	RDRP_BYDVM	2.7.7.48	867	Barley yellow dwarf virus (isolate MAV) (BYDV)	PF00998	Viral RNA dependent RNA polymerase	PF08467;PF00998
P29045	RDRP_BYDVR	2.7.7.48	867	Barley yellow dwarf virus (isolate P-PAV) (BYDV)	PF00998	Viral RNA dependent RNA polymerase	PF08467;PF00998
P29188	NEUAX_RAT	2.7.7.43	20	Rattus norvegicus (Rat)	NO_PFAM	no Pfam annotation	
P29199	RPO10_HALMA	2.7.7.6	66	Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809) (Halobacterium marismortui)	PF01194	RNA polymerases N / 8 kDa subunit	PF01194
P29200	RPO6_HALMA	2.7.7.6	57	Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809) (Halobacterium marismortui)	PF01192	RNA polymerase Rpb6	PF01192
P29398	RPOB_THEMA	2.7.7.6	1263	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04565;PF10385;PF00562;PF04560
P30103	DNAG_RICPR	2.7.7.101	593	Rickettsia prowazekii (strain Madrid E)	PF13662	Toprim domain	PF08275;PF13662;PF01807
P30313	DPO1F_THETH	2.7.7.7	831	Thermus thermophilus	PF00476	DNA polymerase family A	PF01367;PF02739;PF00476;PF09281
P30314	DPOL_BPSP1	2.7.7.7; 3.1.11.-	924	Bacillus phage SP01 (Bacteriophage SP01)	PF00476	DNA polymerase family A	PF00476;PF01612;PF03167
P30320	DPOL_PBCVN	2.7.7.7	913	Paramecium bursaria Chlorella virus NY2A (PBCV-NY2A)	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104
P30321	DPOL_PBCV1	2.7.7.7	913	Paramecium bursaria Chlorella virus 1 (PBCV-1)	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104
P30521	GLGC_NOSS1	2.7.7.27	429	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	PF00483	Nucleotidyl transferase	PF25247;PF00483
P30760	RPOB_MYCLE	2.7.7.6	1178	Mycobacterium leprae (strain TN)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
P30761	RPOC_MYCLE	2.7.7.6	1316	Mycobacterium leprae (strain TN)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P31764	GAL7_HAEIN	2.7.7.12	349	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF01087	Galactose-1-phosphate uridyl transferase, N-terminal domain	PF02744;PF01087
P31813	RPO1N_THECE	2.7.7.6	905	Thermococcus celer	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P31814	RPO2_THECE	2.7.7.6	1122	Thermococcus celer	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF04566;PF04567;PF00562;PF04560
P31815	RPO5_THECE	2.7.7.6	82	Thermococcus celer	PF01191	RNA polymerase Rpb5, C-terminal domain	PF01191
P31817	RDRP_IBDV5	2.7.7.48	525	Avian infectious bursal disease virus (strain 52/70) (IBDV) (Gumboro disease virus)	PF04197	Birnavirus RNA dependent RNA polymerase (VP1), palm domain	PF20489;PF04197;PF20488
P32000	DNAG_BUCAP	2.7.7.101	579	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	PF08275	DNA primase catalytic core, N-terminal domain	PF10410;PF08278;PF08275;PF13155;PF01807
P32652	POLG_MDMV	2.7.7.48	380	Maize dwarf mosaic virus (MDMV)	PF00767	Potyvirus coat protein	PF00767
P33540	RPOP_NEUCS	2.7.7.6	896	Neurospora crassa	PF00940	DNA-dependent RNA polymerase	PF00940
P33655	DNAG_CLOAB	2.7.7.101	596	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W)	PF08275	DNA primase catalytic core, N-terminal domain	PF10410;PF08275;PF13155;PF01807
P33796	RP30_VAR67	2.7.7.6	259	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	PF12410	?	PF12410;PF01096
P33813	RP19_VAR67	2.7.7.6	164	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	PF05320	?	PF05320
P34471	PRI1_CAEEL	2.7.7.-	410	Caenorhabditis elegans	PF01896	DNA primase small subunit	PF01896
P34699	DPO3A_SACEN	2.7.7.7	1194	Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338)	PF07733	Bacterial DNA polymerase III alpha NTPase domain	PF07733;PF17657;PF14579;PF02811;PF01336
P34778	RPOA_EUGLO	2.7.7.6	220	Euglena longa (Euglenophycean alga) (Astasia longa)	NO_PFAM	no Pfam annotation	
P35942	RDRP_ROTGI	2.7.7.48	1159	Rotavirus B (isolate RVB/Rat/United States/IDIR/1984/G1P[X]) (RV-B) (Rotavirus B (isolate infectious diarrhea of infant rats))	PF02123	Viral RNA-directed RNA-polymerase	PF02123
P36195	TDT_CHICK	2.7.7.31	506	Gallus gallus (Chicken)	PF14791	DNA polymerase beta thumb	PF00533;PF14792;PF14791;PF10391;PF14716
P36252	RPOC_THEMA	2.7.7.6	1690	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P36440	RPOB_HETAK	2.7.7.6	1116	Heterosigma akashiwo (Chromophytic alga) (Heterosigma carterae)	PF00562	RNA polymerase Rpb2, domain 6	PF04561;PF04565;PF10385;PF00562;PF04560
P36932	VINT_BPP2	2.7.7.-; 3.1.-.-	337	Escherichia phage P2 (Bacteriophage P2)	PF00589	Phage integrase family	PF24624;PF00589
P37317	VINT_BPSFV	2.7.7.-; 3.1.-.-	385	Shigella phage Sf6 (Shigella flexneri bacteriophage VI) (Bacteriophage SfVI)	PF00589	Phage integrase family	PF13356;PF22022;PF00589
P37540	HOLB_BACSU	2.7.7.7	329	Bacillus subtilis (strain 168)	PF13177	DNA polymerase III, delta subunit	PF13177;PF09115
P37741	MANC7_ECOLX	2.7.7.13	464	Escherichia coli	PF00483	Nucleotidyl transferase	PF22640;PF01050;PF00483
P37753	MANC9_ECOLX	2.7.7.13	471	Escherichia coli	PF00483	Nucleotidyl transferase	PF22640;PF01050;PF00483
P37776	GALF_SHIFL	2.7.7.9	297	Shigella flexneri	PF00483	Nucleotidyl transferase	PF00483
P37779	RMLA1_SHIFL	2.7.7.24	292	Shigella flexneri	PF00483	Nucleotidyl transferase	PF00483
P37939	RNPH_MYCLE	2.7.7.56	259	Mycobacterium leprae (strain TN)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
P37987	RDRP_CVB	2.7.7.48; 3.6.4.13	260	Chrysanthemum virus B (CVB)	PF00978	RNA dependent RNA polymerase	PF00978
P38018	RPOA_MYCSP	2.7.7.6	353	Mycoplasma sp	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P38550	RPOC2_TOBAC	2.7.7.6	1392	Nicotiana tabacum (Common tobacco)	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
P38609	REP_TYCS1	2.7.7.-; 3.1.21.-	359	Tomato yellow leaf curl Sardinia virus (isolate Spain-1) (TYLCSV)	PF00799	Geminivirus Rep catalytic domain	PF00799;PF08283
P38671	RPOM_NEUCR	2.7.7.6	1423	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	PF00940	DNA-dependent RNA polymerase	PF00940;PF14700
P39122	GLGC_BACSU	2.7.7.27	380	Bacillus subtilis (strain 168)	PF00483	Nucleotidyl transferase	PF24894;PF00483
P39629	RMLA_BACSU	2.7.7.24	246	Bacillus subtilis (strain 168)	PF00483	Nucleotidyl transferase	PF00483
P39669	GLGC_AGRTU	2.7.7.27	420	Agrobacterium tumefaciens	PF00483	Nucleotidyl transferase	PF24894;PF00483
P41121	PNP_PHOLU	2.7.7.8	709	Photorhabdus luminescens (Xenorhabdus luminescens)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
P41185	RPOC_BUCAP	2.7.7.6	1413	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P41417	PRIM_NPVAC	2.7.7.-	266	Autographa californica nuclear polyhedrosis virus (AcMNPV)	NO_PFAM	no Pfam annotation	
P41452	LEF8_NPVAC	2.7.7.6	876	Autographa californica nuclear polyhedrosis virus (AcMNPV)	PF04941	?	PF04941
P41556	RPO1N_METVS	2.7.7.6	889	Methanococcus vannielii (strain ATCC 35089 / DSM 1224 / JCM 13029 / OCM 148 / SB)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P41557	RPO2C_METVS	2.7.7.6	611	Methanococcus vannielii (strain ATCC 35089 / DSM 1224 / JCM 13029 / OCM 148 / SB)	PF00562	RNA polymerase Rpb2, domain 6	PF04566;PF04567;PF00562;PF04560
P41558	RPO2N_METVS	2.7.7.6	499	Methanococcus vannielii (strain ATCC 35089 / DSM 1224 / JCM 13029 / OCM 148 / SB)	PF04565	RNA polymerase Rpb2, domain 3	PF04563;PF04561;PF04565
P41559	RPO5_METVS	2.7.7.6	78	Methanococcus vannielii (strain ATCC 35089 / DSM 1224 / JCM 13029 / OCM 148 / SB)	PF01191	RNA polymerase Rpb5, C-terminal domain	PF01191
P41606	RPOC2_PINTH	2.7.7.6	1224	Pinus thunbergii (Japanese black pine) (Pinus thunbergiana)	PF04998	RNA polymerase Rpb1, domain 5	PF05000;PF04998
P41607	RPOB_PINTH	2.7.7.6	1075	Pinus thunbergii (Japanese black pine) (Pinus thunbergiana)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF00562;PF04560
P41629	RPOA_PINTH	2.7.7.6	335	Pinus thunbergii (Japanese black pine) (Pinus thunbergiana)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P42074	RPOC1_FISMU	2.7.7.6	203	Fischerella muscicola	PF04997	RNA polymerase Rpb1, domain 1	PF04997
P42075	RPOC1_PROHO	2.7.7.6	203	Prochlorothrix hollandica	PF04997	RNA polymerase Rpb1, domain 1	PF04997
P42076	RPOC1_PROMA	2.7.7.6	634	Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623;PF04983
P42077	RPOC1_PROMD	2.7.7.6	204	Prochlorococcus marinus (strain DV1)	PF04997	RNA polymerase Rpb1, domain 1	PF04997
P42078	RPOC1_PROSC	2.7.7.6	203	Prochloron sp	PF04997	RNA polymerase Rpb1, domain 1	PF04997
P42079	RPOC1_SYNE7	2.7.7.6	624	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623;PF04983
P42080	RPOC1_CYAPA	2.7.7.6	636	Cyanophora paradoxa	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623;PF04983
P42215	KPSU1_ECOLX	2.7.7.38	72	Escherichia coli	PF02348	Cytidylyltransferase	PF02348
P42216	KPSU5_ECOLX	2.7.7.38	246	Escherichia coli	PF02348	Cytidylyltransferase	PF02348
P42486	RPB1_ASFB7	2.7.7.6	1450	African swine fever virus (strain Badajoz 1971 Vero-adapted) (Ba71V) (ASFV)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998;PF04990
P42487	RPB2_ASFB7	2.7.7.6	1242	African swine fever virus (strain Badajoz 1971 Vero-adapted) (Ba71V) (ASFV)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF04566;PF00562;PF04560
P42489	DPOL_ASFB7	2.7.7.7	1211	African swine fever virus (strain Badajoz 1971 Vero-adapted) (Ba71V) (ASFV)	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104
P42540	VINT_BPL2	2.7.7.-; 3.1.-.-	289	Acholeplasma phage L2 (Bacteriophage L2)	PF00589	Phage integrase family	PF00589
P43139	DPOL_ASFL6	2.7.7.7	1244	African swine fever virus (isolate Pig/Portugal/Lis 60/1960) (ASFV)	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104
P43737	RPOA_HAEIN	2.7.7.6	328	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P43739	RPOC_HAEIN	2.7.7.6	1415	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P43741	DPO1_HAEIN	2.7.7.7	930	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF00476	DNA polymerase family A	PF01367;PF02739;PF00476;PF01612
P43745	DPO3E_HAEIN	2.7.7.7	256	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF00929	Exonuclease	PF00929
P43746	DPO3X_HAEIN	2.7.7.7	688	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF13177	DNA polymerase III, delta subunit	PF13177;PF12169;PF12170;PF22608
P43796	GLGC_HAEIN	2.7.7.27	437	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF00483	Nucleotidyl transferase	PF24894;PF00483
P43919	GLND_HAEIN	2.7.7.59; 3.1.4.-	863	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF01966	HD domain	PF01842;PF08335;PF01966
P43933	MNTA_HAEIN	2.7.7.108	114	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF01909	Nucleotidyltransferase domain	PF01909
P44419	GLNE_HAEIN	2.7.7.42; 2.7.7.89	981	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF08335	GlnD PII-uridylyltransferase	PF08335;PF03710
P44439	PCNB_HAEIN	2.7.7.19	452	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF01743	Poly A polymerase head domain	PF01743;PF12626;PF12627
P44444	RNPH_HAEIN	2.7.7.56	238	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF01138	3' exoribonuclease family, domain 1	PF01138;PF03725
P44458	CITXG_HAEIN	2.4.2.52; 2.7.7.61	465	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF03802	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	PF01874;PF03802
P44490	KDSB_HAEIN	2.7.7.38	254	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF02348	Cytidylyltransferase	PF02348
P44584	PNP_HAEIN	2.7.7.8	709	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
P44805	COAD_HAEIN	2.7.7.3	156	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF01467	Cytidylyltransferase-like	PF01467
P44807	TSAC_HAEIN	2.7.7.87	183	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF01300	Telomere recombination	PF01300
P44899	MOBA_HAEIN	2.7.7.77	192	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF12804	MobA-like NTP transferase domain	PF12804
P44937	CDSA_HAEIN	2.7.7.41	288	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF01148	Cytidylyltransferase family	PF01148
P44957	RIBF_HAEIN	2.7.1.26; 2.7.7.2	308	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF06574	FAD synthetase	PF06574;PF01687
P45211	MOEB_HAEIN	2.7.7.80	243	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	PF00899	ThiF family	PF00899
P45616	COAD_MYCCT	2.7.7.3	140	Mycoplasma capricolum subsp. capricolum (strain California kid / ATCC 27343 / NCTC 10154)	PF01467	Cytidylyltransferase-like	PF01467
P45749	CCA_AERHY	2.7.7.72	192	Aeromonas hydrophila	PF01743	Poly A polymerase head domain	PF01743;PF12627
P45831	TSAC_MYCLE	2.7.7.87	220	Mycobacterium leprae (strain TN)	PF01300	Telomere recombination	PF01300
P46818	RPOB_SINAL	2.7.7.6	1078	Sinapis alba (White mustard) (Brassica hirta)	PF00562	RNA polymerase Rpb2, domain 6	PF04561;PF04565;PF00562;PF04560
P46819	RPOC1_SINAL	2.7.7.6	688	Sinapis alba (White mustard) (Brassica hirta)	PF04997	RNA polymerase Rpb1, domain 1	PF04997;PF00623
P46835	DPO1_MYCLE	2.7.7.7	911	Mycobacterium leprae (strain TN)	PF00476	DNA polymerase family A	PF01367;PF02739;PF00476;PF22619
P47351	DACB_MYCGE	2.7.7.85	200	Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasmoides genitalium)	PF02457	DisA bacterial checkpoint controller nucleotide-binding	PF02457
P47391	RIBF_MYCGE	2.7.1.26; 2.7.7.2	269	Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasmoides genitalium)	PF06574	FAD synthetase	PF06574;PF01687
P47423	RPOA_MYCGE	2.7.7.6	328	Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasmoides genitalium)	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
P47492	DNAG_MYCGE	2.7.7.101	607	Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasmoides genitalium)	PF08275	DNA primase catalytic core, N-terminal domain	PF08275;PF13155;PF01807
P47582	RPOC_MYCGE	2.7.7.6	1292	Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasmoides genitalium)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P47715	RPOB_MYCGA	2.7.7.6	1390	Mycoplasmoides gallisepticum (strain R(low / passage 15 / clone 2)) (Mycoplasma gallisepticum)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
P47716	RPOC_MYCGA	2.7.7.6	1286	Mycoplasmoides gallisepticum (strain R(low / passage 15 / clone 2)) (Mycoplasma gallisepticum)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
P47729	DPO3_MYCPU	2.7.7.7	1435	Mycoplasmopsis pulmonis (strain UAB CTIP) (Mycoplasma pulmonis)	PF07733	Bacterial DNA polymerase III alpha NTPase domain	PF07733;PF17657;PF14579;PF02811;PF00929
P47762	DNAG_LISMO	2.7.7.101	626	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	PF08275	DNA primase catalytic core, N-terminal domain	PF10410;PF08275;PF13155;PF01807
P47768	RPOB_STAA8	2.7.7.6	1183	Staphylococcus aureus (strain NCTC 8325 / PS 47)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
P47981	NADR_KLEPN	2.7.1.22; 2.7.7.1	47	Klebsiella pneumoniae	NO_PFAM	no Pfam annotation	
P48118	RPOA_CYAPA	2.7.7.6	315	Cyanophora paradoxa	PF01000	RNA polymerase Rpb3/RpoA insert domain	PF01000;PF03118;PF01193
